,130,132,134,136,138,140,142,144,146,148
110,19.66%,27.82%,28.85%,31.01%,32.26%,33.56%,35.70%,36.96%,37.86%,37.38%
112,20.24%,25.54%,27.18%,31.74%,32.99%,34.18%,36.32%,37.58%,38.65%,36.39%
114,21.29%,25.72%,27.33%,27.23%,27.88%,29.81%,31.63%,32.37%,33.24%,34.36%
116,24.49%,29.74%,31.36%,31.74%,32.39%,34.35%,36.17%,38.28%,39.14%,40.70%
118,24.38%,27.72%,30.23%,32.18%,34.22%,36.66%,37.99%,39.04%,39.93%,41.99%
120,24.49%,27.87%,30.38%,32.25%,33.82%,35.27%,36.60%,38.86%,39.75%,41.75%
122,23.21%,26.50%,28.80%,30.66%,32.28%,33.72%,35.04%,36.76%,38.58%,40.79%
124,17.08%,18.63%,20.31%,26.94%,29.13%,30.54%,31.33%,33.04%,34.87%,36.94%
126,17.22%,18.62%,19.74%,23.52%,25.12%,26.56%,27.62%,28.66%,30.15%,34.01%
128,13.46%,15.46%,17.71%,21.98%,22.91%,24.60%,25.86%,27.20%,27.86%,31.43%
